Product,Year,Month,Week,Quantity,Avg_cost,Standart_price,Category,Holiday,Temp_Hi,Temp_Lo,Temp_Rain
7290005201882,2018,8,36,0,32.06,13.36,100303,0,31.84,24.87,0
7290008713184,2018,8,36,0,1.34,5.90,100406,0,31.84,24.87,0
7290013027368,2018,8,36,0,2.34,2.84,100405,0,31.84,24.87,0
7290001594155,2018,8,36,0,0.51,3.44,103240,0,31.84,24.87,0
7290003029181,2018,8,36,0,7.74,7.92,100192,0,31.84,24.87,0
7290011133450,2018,8,36,0,14.93,1.04,100538,0,31.84,24.87,0
7290003029792,2018,8,36,0,1.94,13.82,100194,0,31.84,24.87,0
7290003029815,2018,8,36,0,0.48,10.54,100845,0,31.84,24.87,0
7290003457953,2018,8,36,0,0.10,6.09,103560,0,31.84,24.87,0
7290107932080,2018,8,36,0,3.21,5.28,100845,0,31.84,24.87,0
7290000408316,2018,8,36,0,0.08,2.33,100214,0,31.84,24.87,0
7290004584528,2018,8,36,0,0.29,2.33,100214,0,31.84,24.87,0
7290005839313,2018,8,36,0,0.13,3.06,100228,0,31.84,24.87,0
7290006764072,2018,8,36,0,0.46,3.75,103417,0,31.84,24.87,0
7290000041858,2018,8,36,0,0.66,1.75,100222,0,31.84,24.87,0
7290004554781,2018,8,36,0,0.43,1.47,103560,0,31.84,24.87,0
7290107647762,2018,8,36,0,0.73,12.63,102939,0,31.84,24.87,0
7290011018313,2018,8,36,0,1.27,18.89,100329,0,31.84,24.87,0
7290004125455,2018,8,36,0,0.16,1.61,100222,0,31.84,24.87,0
5906485301012,2018,8,36,720,0.15,1.80,100336,0,31.84,24.87,0
7290011017873,2018,8,36,0,0.19,2.23,103240,0,31.84,24.87,0
7290002824640,2018,8,36,0,0.30,3.15,100200,0,31.84,24.87,0
7290000408354,2018,8,36,0,2.17,2.97,100216,0,31.84,24.87,0
17,2018,8,36,0,1.03,3.65,100400,0,31.84,24.87,0
7290001201596,2018,8,36,48,5.25,7.50,100321,0,31.84,24.87,0
7290002390220,2018,8,36,0,0.17,0.76,100405,0,31.84,24.87,0
7290003321155,2018,8,36,0,1.24,2.97,100216,0,31.84,24.87,0
7290000042404,2018,8,36,0,0.84,4.37,100581,0,31.84,24.87,0
7290000379104,2018,8,36,0,10.37,4.97,100399,0,31.84,24.87,0
7290000066318,2018,8,36,40,0.39,2.77,100381,0,31.84,24.87,0
7290000178707,2018,8,36,0,0.39,2.02,100379,0,31.84,24.87,0
7290008645935,2018,8,36,0,12.87,6.87,100466,0,31.84,24.87,0
379432,2018,8,36,0,0.73,1.33,100405,0,31.84,24.87,0
379609,2018,8,36,0,3.88,2.43,100405,0,31.84,24.87,0
7290002390046,2018,8,36,0,9.06,4.47,100399,0,31.84,24.87,0
7290002871361,2018,8,36,0,0.98,4.35,103417,0,31.84,24.87,0
7290002331322,2018,8,36,0,0.88,7.48,100359,0,31.84,24.87,0
7290003029433,2018,8,36,0,0.17,3.57,100191,0,31.84,24.87,0
7290001045220,2018,8,36,0,0.99,16.96,100594,0,31.84,24.87,0
72940761,2018,8,36,0,0.24,1.91,100228,0,31.84,24.87,0
7290002824183,2018,8,36,0,0.51,6.27,100200,0,31.84,24.87,0
86,2018,8,36,0,1.79,3.36,100398,0,31.84,24.87,0
7290002065555,2018,8,36,0,0.40,7.73,100405,0,31.84,24.87,0
7290005838002,2018,8,36,0,0.15,2.75,100416,0,31.84,24.87,0
7290011194246,2018,8,36,0,0.51,4.31,100204,0,31.84,24.87,0
7290011017866,2018,8,36,0,0.19,2.23,103240,0,31.84,24.87,0
7290014940901,2018,8,36,0,0.45,8.68,100404,0,31.84,24.87,0
7290000043814,2018,8,36,0,0.41,4.06,100233,0,31.84,24.87,0
7290004131074,2018,8,35,15096,4.14,4.14,100188,0,31.67,24.33,0
7290000211503,2018,8,35,1950,2.32,2.20,100243,0,31.67,24.33,0
7290008713184,2018,8,35,1008,6.20,5.90,100406,0,31.67,24.33,0
7290011133450,2018,8,35,20200,1.04,1.04,100538,0,31.67,24.33,0
7290003119110,2018,8,35,1681,31.88,30.88,103238,0,31.67,24.33,0
7290008909877,2018,8,35,800,31.88,30.88,103238,0,31.67,24.33,0
7290011018313,2018,8,35,909,18.89,18.89,100329,0,31.67,24.33,0
7290000042015,2018,8,35,5462,3.74,3.74,100581,0,31.67,24.33,0
7290013027368,2018,8,35,2715,2.84,2.84,100405,0,31.67,24.33,0
7290000041858,2018,8,35,2362,1.75,1.75,100222,0,31.67,24.33,0
7290000042404,2018,8,35,1062,4.37,4.37,100581,0,31.67,24.33,0
7290001594155,2018,8,35,2664,3.44,3.44,103240,0,31.67,24.33,0
7290004125417,2018,8,35,1632,1.00,1.00,100220,0,31.67,24.33,0
7290004125400,2018,8,35,1440,1.09,1.09,100221,0,31.67,24.33,0
7290000042435,2018,8,35,915,3.92,3.92,100188,0,31.67,24.33,0
7290003029815,2018,8,35,975,10.54,10.54,100845,0,31.67,24.33,0
7290000056845,2018,8,35,1542,6.21,6.21,100188,0,31.67,24.33,0
7290004125455,2018,8,35,2784,1.61,1.61,100222,0,31.67,24.33,0
7290000379104,2018,8,35,6396,4.97,4.97,100399,0,31.67,24.33,0
7290000688381,2018,8,35,908,7.30,6.57,100360,0,31.67,24.33,0
7290003029792,2018,8,35,864,13.82,13.82,100194,0,31.67,24.33,0
7290006764072,2018,8,35,2580,3.75,3.75,103417,0,31.67,24.33,0
7290000057477,2018,8,35,1275,6.21,6.21,100188,0,31.67,24.33,0
379609,2018,8,35,1409,2.43,2.43,100405,0,31.67,24.33,0
7290003029181,2018,8,35,711,7.92,7.92,100192,0,31.67,24.33,0
7290000408316,2018,8,35,1721,2.33,2.33,100214,0,31.67,24.33,0
7290002824183,2018,8,35,934,6.27,6.27,100200,0,31.67,24.33,0
7290004125509,2018,8,35,1704,1.09,1.09,100222,0,31.67,24.33,0
5906485301012,2018,8,35,5760,1.75,1.80,100336,0,31.67,24.33,0
7290000688732,2018,8,35,702,8.49,8.49,100359,0,31.67,24.33,0
7290004554781,2018,8,35,8809,1.47,1.47,103560,0,31.67,24.33,0
7290004127336,2018,8,35,1110,4.02,4.02,100204,0,31.67,24.33,0
